X,Y,FL_den,0-10,10-20,20-30,30-40,40-50
4989418.0884,2600919.139745445,0.0,67,25,12,9,1
4999418.0884,2600919.139745445,0.0,66,25,14,7,2
5009418.0884,2600919.139745445,0.0,55,24,14,6,2
4729418.0884,2590919.139745445,0.0,0,0,0,0,0
4739418.0884,2590919.139745445,0.0,0,0,0,0,0
4749418.0884,2590919.139745445,0.0,0,0,0,0,0
4759418.0884,2590919.139745445,0.0,0,0,0,0,0
4769418.0884,2590919.139745445,0.0,0,0,0,0,0
4779418.0884,2590919.139745445,0.0,0,0,0,0,0
4789418.0884,2590919.139745445,0.0,0,0,0,0,0
4799418.0884,2590919.139745445,0.0,0,0,0,0,0
4809418.0884,2590919.139745445,0.0,0,0,0,0,0
4819418.0884,2590919.139745445,0.0,0,0,0,0,0
4829418.0884,2590919.139745445,0.0,0,0,0,0,0
4839418.0884,2590919.139745445,0.0,0,0,0,0,0
4849418.0884,2590919.139745445,0.0,0,0,0,0,0
4859418.0884,2590919.139745445,0.0,1,0,0,0,0
4869418.0884,2590919.139745445,0.0,2,0,0,0,0
4879418.0884,2590919.139745445,0.0,4,0,0,0,0
4889418.0884,2590919.139745445,0.0,7,0,4,2,1
4899418.0884,2590919.139745445,0.0,11,7,9,3,1
4909418.0884,2590919.139745445,5.874704947927968e-05,21,14,20,5,2
4919418.0884,2590919.139745445,5.228439476923086e-05,31,15,27,12,3
4929418.0884,2590919.139745445,1.5962787074386142e-05,63,21,26,17,2
4939418.0884,2590919.139745445,5.426631105365232e-05,103,23,28,18,1
4949418.0884,2590919.139745445,0.0001884615485323,124,37,35,20,2
4959418.0884,2590919.139745445,0.0002356839831918,103,36,31,14,2
4969418.0884,2590919.139745445,6.081719038775192e-05,62,24,22,9,2
4979418.0884,2590919.139745445,0.0,37,20,11,5,1
4989418.0884,2590919.139745445,0.0,38,15,8,4,1
4999418.0884,2590919.139745445,0.0,42,18,8,4,1
5009418.0884,2590919.139745445,0.0,34,11,5,1,0
4729418.0884,2580919.139745445,0.0,0,0,0,0,0
4739418.0884,2580919.139745445,0.0,0,0,0,0,0
4749418.0884,2580919.139745445,0.0,0,0,0,0,0
4759418.0884,2580919.139745445,0.0,0,0,0,0,0
4769418.0884,2580919.139745445,0.0,0,0,0,0,0
4779418.0884,2580919.139745445,0.0,0,0,0,0,0
4789418.0884,2580919.139745445,0.0,0,0,0,0,0
4799418.0884,2580919.139745445,0.0,0,0,0,0,0
4809418.0884,2580919.139745445,0.0,0,0,0,0,0
